KEY,OVERRIDE_LOGGED_BY,AP_NAME,REASON,TUITION_ELIGIBLE,UPDATED_AT,STUDENT_EXTERNAL_ID,TERM_CODE,COMMENT,MP SEARCH URL
﻿KEY,OVERRIDE_LOGGED_BY,AP_NAME,REASON,TUITION_ELIGIBLE,UPDATED_AT,STUDENT_EXTERNAL_ID,TERM_CODE,COMMENT,MP SEARCH URL
20222330_PA5441490,Spingler,AdventHealth University,guildLogic,TRUE,2023-09-12 21:02:34.829 +0000,PA5441490,20222330,Roll Call as SOT,https://ta-admin.guildeducation.com/member-payments?searchTerm=PA5441490&page=0&attribute=studentId
FA-23_1163044,West,Mercy College of Ohio,mp3override,TRUE,2023-09-08 22:28:28.406 +0000,1163044,FA-23,"TA approval from EP
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000LauErAAJ/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=1163044&page=0&attribute=studentId
202310_@01528966,West,Fullerton College,mp3override,TRUE,2023-09-08 22:26:55.796 +0000,@01528966,202310,"Learner was locked in ineligible program on term start but moved to eligible programs before add/drop - Disney approved override
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000LcXZVAA3/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=@01528966&page=0&attribute=studentId
2238_3128680,West,University of Maryland Global Campus,mp3override,FALSE,2023-09-08 22:22:40.636 +0000,3128680,2238,"REVERSE OVERRIDE - Given misinformation from Guild coach about ability to opt-out of benefit for a term
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000Lp1dTAAR/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=3128680&page=0&attribute=studentId
2232_3166664,West,University of Maryland Global Campus,mp3override,TRUE,2023-09-08 22:21:06.234 +0000,3166664,2232,"""Session-level eligibility
Started her program prior to her approved start date""
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000NzfFVAAZ/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=3166664&page=0&attribute=studentId
202308_1902423,West,Pima Medical Institute,mp3override,TRUE,2023-09-08 22:19:23.061 +0000,1902423,202308,"ART approval after term start, confirmed that learner was eligible on lock date. 
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000LcTkbAAF/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=1902423&page=0&attribute=studentId
2023FallELearn1_P000115607,West,Louisiana State University of Alexandria,mp3override,TRUE,2023-09-08 22:18:00.427 +0000,P000115607,2023FallELearn1,"showing PROG inelig, approved for BS in Nursing LSUA confirmed they are in the eligible program
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000LbvI9AAJ/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=P000115607&page=0&attribute=studentId
2023FallELearn1_P000113923,West,Louisiana State University of Alexandria,mp3override,TRUE,2023-09-08 22:17:16.471 +0000,P000113923,2023FallELearn1,"GPA is reporting 1.94, LSU confirms that their GPA is 2.55
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000LbvI9AAJ/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=P000113923&page=0&attribute=studentId
202415_B00673619,West,University of Massachusetts Global,mp3override,TRUE,2023-09-08 22:14:03.626 +0000,B00673619,202415,"Employer eligibility issue (override approved)
Employer eligibility issue (override approved)",https://ta-admin.guildeducation.com/member-payments?searchTerm=B00673619&page=0&attribute=studentId
1770_3780878,West,University of Central Florida,mp3override,TRUE,2023-09-08 22:12:25.065 +0000,3780878,1770,"ART approved after term start but an override was approved
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000Lox0XAAR/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=3780878&page=0&attribute=studentId
202410B1_W00329469,West,Wilmington University,mp3override,TRUE,2023-09-08 22:02:32.576 +0000,W00329469,202410B1,"Data Delay
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000LcB6pAAF/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=W00329469&page=0&attribute=studentId
202410B1_W00339526,West,Wilmington University,mp3override,TRUE,2023-09-08 22:01:36.710 +0000,W00339526,202410B1,"EP Exception
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000Lc2XbAAJ/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=W00339526&page=0&attribute=studentId
202330B1_W00377937,West,Wilmington University,mp3override,TRUE,2023-09-08 22:00:56.311 +0000,W00377937,202330B1,"Late Tagging
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000LbVjrAAF/view
",https://ta-admin.guildeducation.com/member-payments?searchTerm=W00377937&page=0&attribute=studentId
202330B1_W00379572,West,Wilmington University,mp3override,TRUE,2023-09-08 21:57:20.410 +0000,W00379572,202330B1,"Late Tagging
https://guildeducation3.lightning.force.com/lightning/r/Case/5005e00000LbfU6AAJ/view",https://ta-admin.guildeducation.com/member-payments?searchTerm=W00379572&page=0&attribute=studentId
